party_id,name
0,Alþýðubandalagið
1,Alþýðuflokkurinn
2,Framsóknarflokkurinn
3,Kvennalistinn
4,Sjálfstæðisflokkurinn
5,Þjóðvaki
6,Samfylkingin
7,Frjálslyndi flokkurinn
8,Vinstri græn
9,Íslandshreyfingin
10,Annað
11,Borgarahreyfingin
12,Hreyfingin
13,Björt framtíð
14,Hægri grænir
15,Samstaða
16,Dögun
17,Píratar
18,Lýðræðisvaktin
19,Framfaraflokkurinn
20,Lýðræðishreyfingin
21,Alþýðufylkingin
22,Flokkur heimilanna
23,Landsbyggðarflokkurinn
24,Regnboginn
25,Húmanistaflokkurinn
26,Sturla Jónsson
