Flokkur;Könnun;Dags;21.10.08;5.12.08;21.1.09;12.2.09;3.3.09;14.4.09;Kosn: 25.4.2009;14.9.09;16.10.09;7.12.09;6.1.10;17.2.10;5.3.10;12.4.10;10.5.10;10.6.10;12.7.10;19.8.10;16.9.10;5.10.10;5.11.10;9.12.10;14.1.11;21.2.11;11.3.11;7.4.11;12.5.11;15.6.11;14.7.11;18.8.11;14.9.11;10.10.11;14.11.11;9.12.11;17.1.12;14.2.12;18.3.12;17.4.12;15.5.12;19.6.12;16.7.12;6.9.12;20.9.12;12.10.12;13.11.12;11.12.12;20.1.13;6.2.13;21.2.13;13.3.13;26.3.13;9.4.13;14.4.13;18.4.13;25.4.13;Kosn: 27.4.2013;17.5.13;1.6.13;18.6.13;2.7.13;11.7.13;14.8.13;3.9.13;11.9.13;1.10.13;15.10.13;29.10.13;1.11.13;28.11.13
Framsókn;MMR;;9,181141439;4,916673003;17,17559885;14,88950374;10,00092022;8,99841125;14,79781818;16,64487648;17,31111111;15,83953468;14,64085183;13,02791829;14,99172818;12,88447938;12,51361512;13,97444433;11,54996034;10,73276442;12,15922114;9,539540011;9,914100789;12,68758693;9,562331195;16,04825043;13,94970064;10,59401387;20,21157522;15,12809504;17,71092552;19,36188001;15,40085013;13,26902089;14,21548421;15,36131892;15,01805928;15,10866012;13,15723101;14,510157;12,82952803;17,45244583;17,03168176;13,3365563;16,95352401;11,22953974;12,04911339;13,58737599;14,83034637;19,49477344;23,81402932;25,91016829;29,47784242;30,24858269;32,66242176;25,63782767;22,40637855;24,4314514;19,87981947;21,19743985;19,94823265;19,3057943;16,69976776;18,0829711;16,6835;14,5389;17,4546;15,3659;13,2028;16,3071;14,9942
Sjálfstæðisflokkur;MMR;;27,79156328;25,73079608;24,29670795;28,98265404;29,32732125;28,80877531;23,70460993;31,63935818;36,79206349;42,05628261;33,83630477;34,10860762;36,23034511;37,57846966;29,61516933;34,71973606;36,27251883;37,20988702;35,14611475;32,95913637;33,87433911;35,67395279;36,31605102;37,74730633;40,45886961;41,71290581;34,88789096;39,25466482;36,25225667;35,88375304;38,93242493;36,69969245;40,47328816;38,535943;35,97892817;34,0096759;37,3355976;38,99608833;38,54657692;36,40620215;38,49014442;40,6455635;34,93811126;35,28982222;37,70509073;37,37336762;34,51780507;32,99922352;28,525099;27,21923952;24,36971966;21,23028692;22,88005374;27,54914886;26,69382626;26,69665062;28,44089223;28,20308939;27,3456629;26,46620541;29,65072548;27,89272929;27,3553;30,6181;26,1391;26,4546;28,5554;28,4086;26,8423
Frjálslyndi flokkurinn;MMR;;3,473945409;2,992306682;3,275296343;1,532403959;2,188276433;1,546496299;2,216013206;1,945835809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Borgarahreyfingin;MMR;;;;;;;4,073285333;7,222343909;3,06307836;1,5;2,673851681;1,463254732;1,836636419;2,423997244;2,184432322;3,520213969;1,040430062;2,594160854;2,160679708;1,22217416;4,361205955;2,738579857;1,553733428;1,915306736;2,15475992;1,761316355;2,876079073;1,600912786;1,408681854;1,059838432;1,040505578;1,177895117;1,293084212;1,809137934;0,176620067;1,723478398;1,385168626;0,613145533;0,225962978;0,363597068;0,419696992;0,418984892;0,195964328;0,877044005;;;;;;;;;;;;;;;;;;;;;;;;;;
Samfylking;MMR;;27,29528536;27,08559421;16,66715934;24,09989004;30,5144014;29,76540581;29,78796151;24,05637151;22,17142857;18,22085365;21,42563682;21,63570891;19,57416373;19,43043372;19,30931364;20,64105684;19,36362741;16,81454351;18,46572048;12,25118057;18,61792596;18,04592775;19,83681564;17,53302749;15,01062147;16,78454048;17,74584287;18,893486;19,83857909;18,73196417;17,81995209;17,66449706;15,45514705;17,4946132;18,65877158;16,9594576;18,28767485;14,56163293;17,66893429;16,4252673;16,90753155;19,31954809;17,7264227;21,24286445;18,59871676;17,40248703;17,26956244;16,16631632;12,80469437;12,44234588;12,52141026;12,7179963;10,36059361;13,54563021;12,95511877;12,85359014;11,74783764;11,73907656;12,97252352;14,35259231;13,52312234;12,97050177;12,3620;12,4798;14,6011;17,2585;15,5383;14,2665;13,7965
Vinstrihreyfingin grænt framboð;MMR;;29,03225806;29,97421736;28,49921665;23,440105;22,67231067;25,91691174;21,67985341;19,8302063;19,04444444;17,46813788;25,14771838;24,78140216;21,31110443;21,29729731;26,13904737;18,36989937;17,59195783;19,23059274;22,37425764;15,51777933;15,48401885;14,19125974;18,11831478;14,7392133;14,89607958;15,20239107;15,29535883;14,18721991;14,90777633;15,99753582;14,35262954;15,74215394;13,7542539;12,55715381;16,4460228;12,17517949;11,29165939;13,20848768;14,10235584;13,29009124;11,40980812;12,88469338;15,78143137;13,85672343;11,27114472;11,23312179;8,608958927;8,64484343;9,542707928;9,560273291;8,721455586;8,096788381;6,6932766;8,118240584;11,55076297;10,87147468;12,10348945;13,81339252;12,39696238;13,31788461;13,05037242;14,40149661;16,9785;14,7342;14,6793;12,6070;14,7537;11,0319;12,5706
Hreyfingin;MMR;;;;;;;;;;;;;;;;;3,348819624;3,354283117;4,189146826;4,961301045;9,528058118;8,893758939;6,595023633;6,271412205;3,725768342;5,747749854;5,093616553;4,304680866;3,631935425;3,148607866;4,36824247;2,867728904;4,171084094;2,798020775;3,645468539;1,795353071;3,134541505;1,987423169;1,942030738;2,19117694;2,721821351;3,476436429;1,237706091;1,700489191;;;;;;;;;;;;;;;;;;;;;;;;;;
Björt Framtíð;MMR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,283451552;8,149654244;7,604580459;4,566390689;4,05886731;5,891136551;6,836544687;8,814290881;10,79602226;11,47022103;17,63961247;17,8219182;15,28262087;15,18845887;11,95855273;9,172991822;9,461781486;8,324547249;7,729759495;8,24540981;11,25364973;11,24372073;12,45832204;12,53955754;12,29369543;11,65167219;12,5297;11,8258;12,5704;12,1855;12,0548;14,4713;15,1500
Dögun;MMR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,119534013;2,423286559;3,119093285;2,226920491;0,907300206;2,166590784;1,935218465;1,653021369;1,92547808;3,553152667;3,641480864;2,946009301;3,098047516;3,81276923;2,682452828;2,035869498;3,055161736;0,984568062;2,435912733;1,3519;1,5917;2,0262;2,4391;1,8776;1,9743;2,3672
Hægri grænir;MMR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,136929625;3,064455215;1,964589147;2,024894779;1,845768843;2,473365755;2,129964278;2,510478161;2,157788234;0,97958791;1,705447527;1,285905689;1,72601725;1,401965252;1,236288955;1,768299682;1,207342512;1,925590202;2,203969675;1,4538;1,1666;1,9337;1,2052;1,4772;1,9726;1,8195
