Dags,Konnun,Flokkur,Fylgi
21.10.08,MMR,Framsókn,"9,181141439"
5.12.08,MMR,Framsókn,"4,916673003"
21.1.09,MMR,Framsókn,"17,17559885"
12.2.09,MMR,Framsókn,"14,88950374"
3.3.09,MMR,Framsókn,"10,00092022"
14.4.09,MMR,Framsókn,"8,99841125"
Kosn: 25.4.2009,MMR,Framsókn,"14,79781818"
14.9.09,MMR,Framsókn,"16,64487648"
16.10.09,MMR,Framsókn,"17,31111111"
7.12.09,MMR,Framsókn,"15,83953468"
6.1.10,MMR,Framsókn,"14,64085183"
17.2.10,MMR,Framsókn,"13,02791829"
5.3.10,MMR,Framsókn,"14,99172818"
12.4.10,MMR,Framsókn,"12,88447938"
10.5.10,MMR,Framsókn,"12,51361512"
10.6.10,MMR,Framsókn,"13,97444433"
12.7.10,MMR,Framsókn,"11,54996034"
19.8.10,MMR,Framsókn,"10,73276442"
16.9.10,MMR,Framsókn,"12,15922114"
5.10.10,MMR,Framsókn,"9,539540011"
5.11.10,MMR,Framsókn,"9,914100789"
9.12.10,MMR,Framsókn,"12,68758693"
14.1.11,MMR,Framsókn,"9,562331195"
21.2.11,MMR,Framsókn,"16,04825043"
11.3.11,MMR,Framsókn,"13,94970064"
7.4.11,MMR,Framsókn,"10,59401387"
12.5.11,MMR,Framsókn,"20,21157522"
15.6.11,MMR,Framsókn,"15,12809504"
14.7.11,MMR,Framsókn,"17,71092552"
18.8.11,MMR,Framsókn,"19,36188001"
14.9.11,MMR,Framsókn,"15,40085013"
10.10.11,MMR,Framsókn,"13,26902089"
14.11.11,MMR,Framsókn,"14,21548421"
9.12.11,MMR,Framsókn,"15,36131892"
17.1.12,MMR,Framsókn,"15,01805928"
14.2.12,MMR,Framsókn,"15,10866012"
18.3.12,MMR,Framsókn,"13,15723101"
17.4.12,MMR,Framsókn,"14,510157"
15.5.12,MMR,Framsókn,"12,82952803"
19.6.12,MMR,Framsókn,"17,45244583"
16.7.12,MMR,Framsókn,"17,03168176"
6.9.12,MMR,Framsókn,"13,3365563"
20.9.12,MMR,Framsókn,"16,95352401"
12.10.12,MMR,Framsókn,"11,22953974"
13.11.12,MMR,Framsókn,"12,04911339"
11.12.12,MMR,Framsókn,"13,58737599"
20.1.13,MMR,Framsókn,"14,83034637"
6.2.13,MMR,Framsókn,"19,49477344"
21.2.13,MMR,Framsókn,"23,81402932"
13.3.13,MMR,Framsókn,"25,91016829"
26.3.13,MMR,Framsókn,"29,47784242"
9.4.13,MMR,Framsókn,"30,24858269"
14.4.13,MMR,Framsókn,"32,66242176"
18.4.13,MMR,Framsókn,"25,63782767"
25.4.13,MMR,Framsókn,"22,40637855"
Kosn: 27.4.2013,MMR,Framsókn,"24,4314514"
17.5.13,MMR,Framsókn,"19,87981947"
1.6.13,MMR,Framsókn,"21,19743985"
18.6.13,MMR,Framsókn,"19,94823265"
2.7.13,MMR,Framsókn,"19,3057943"
11.7.13,MMR,Framsókn,"16,69976776"
14.8.13,MMR,Framsókn,"18,0829711"
3.9.13,MMR,Framsókn,"16,6835"
11.9.13,MMR,Framsókn,"14,5389"
1.10.13,MMR,Framsókn,"17,4546"
15.10.13,MMR,Framsókn,"15,3659"
29.10.13,MMR,Framsókn,"13,2028"
1.11.13,MMR,Framsókn,"16,3071"
28.11.13,MMR,Framsókn,"14,9942"
21.10.08,MMR,Sjálfstæðisflokkur,"27,79156328"
