Dagsetning,Konnun,Flokkur,Prosent,Aths
31-May-04,Capacent (fylgi flokka allir),Aðrir flokkar,"0,2",
31-May-04,Capacent (fylgi flokka allir),Björt framtíð,0,
31-May-04,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-May-04,Capacent (fylgi flokka allir),Dögun,,
31-May-04,Capacent (fylgi flokka allir),Framsóknarflokkur,"13,6",
31-May-04,Capacent (fylgi flokka allir),Frjálslyndir,"5,5",
31-May-04,Capacent (fylgi flokka allir),Hægri grænir,,
31-May-04,Capacent (fylgi flokka allir),Hreyfingin,0,
31-May-04,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-May-04,Capacent (fylgi flokka allir),Píratar,,
31-May-04,Capacent (fylgi flokka allir),Samfylkingin,"32,9",
31-May-04,Capacent (fylgi flokka allir),Samstaða,0,
31-May-04,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"29,2",
31-May-04,Capacent (fylgi flokka allir),Vinstri grænir,"18,6",
30-Jun-04,Capacent (fylgi flokka allir),Aðrir flokkar,0,
30-Jun-04,Capacent (fylgi flokka allir),Björt framtíð,0,
30-Jun-04,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
30-Jun-04,Capacent (fylgi flokka allir),Dögun,,
30-Jun-04,Capacent (fylgi flokka allir),Framsóknarflokkur,13,
30-Jun-04,Capacent (fylgi flokka allir),Frjálslyndir,"4,8",
30-Jun-04,Capacent (fylgi flokka allir),Hægri grænir,,
30-Jun-04,Capacent (fylgi flokka allir),Hreyfingin,0,
30-Jun-04,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
30-Jun-04,Capacent (fylgi flokka allir),Píratar,,
30-Jun-04,Capacent (fylgi flokka allir),Samfylkingin,"33,6",
30-Jun-04,Capacent (fylgi flokka allir),Samstaða,0,
30-Jun-04,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"31,1",
30-Jun-04,Capacent (fylgi flokka allir),Vinstri grænir,"17,5",
31-Jul-04,Capacent (fylgi flokka allir),Aðrir flokkar,"0,2",
31-Jul-04,Capacent (fylgi flokka allir),Björt framtíð,0,
31-Jul-04,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-Jul-04,Capacent (fylgi flokka allir),Dögun,,
31-Jul-04,Capacent (fylgi flokka allir),Framsóknarflokkur,"12,5",
31-Jul-04,Capacent (fylgi flokka allir),Frjálslyndir,"5,3",
31-Jul-04,Capacent (fylgi flokka allir),Hægri grænir,,
31-Jul-04,Capacent (fylgi flokka allir),Hreyfingin,0,
31-Jul-04,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-Jul-04,Capacent (fylgi flokka allir),Píratar,,
31-Jul-04,Capacent (fylgi flokka allir),Samfylkingin,"32,3",
31-Jul-04,Capacent (fylgi flokka allir),Samstaða,0,
31-Jul-04,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"30,9",
31-Jul-04,Capacent (fylgi flokka allir),Vinstri grænir,"18,8",
