Fylgi stjórnmálaflokka samkvæmt Þjóðarpúlsi Capacent;;;;;;;;;;;;;;;;;;;;;;;;;
Exported from datamarket.com;;;;;;;;;;;;;;;;;;;;;;;;;
Date exported;2014-02-02 14:38;;;;;;;;;;;;;;;;;;;;;;;;
On DataMarket;http://datamarket.com/data/set/yf5/fylgi-stjornmalaflokka-samkvaemt-thjodarpulsi-capacent#!display=table&ds=yf5!6yi;;;;;;;;;;;;;;;;;;;;;;;;
License;"Unknown; please assume a restricted license (all rights reserved); contact DataMarket if you need different licensing";;;;;;;;;;;;;;;;;;;;;;;;
Provider;Capacent;;;;;;;;;;;;;;;;;;;;;;;;
Source URL;;;;;;;;;;;;;;;;;;;;;;;;;
Units;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Units;%;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Flokkur;(A) Alþýðuflokkurinn;(A) Björt framtíð;(B) Framsóknarflokkurinn;(C) Samstaða;(D) Sjálfstæðisflokkurinn;(F) Frjálslyndi flokkurinn;(G) Alþýðubandalagið;(G) Hægri grænir;(Í) Íslandshreyfingin;(L) Lýðræðisvaktin;(O) Borgarahreyfingin;(S) Samfylkingin;(T) Dögun;(V) Kvennalistinn;(V) Vinstrihr. -grænt framb.;(X) Annað;(Þ) Píratar;(Þ) Þjóðvaki;Hreyfingin;1994-1995 (A og D);1994-2013 Ríkisstjórnin;1995-2007 (B og D);2007-2009 (D og S);2009-2013 (S og V);2013-2017 (B og D)
Month;;;;;;;;;;;;;;;;;;;;;;;;;
1994-03;8;;21;;35;;15;;;;;;;19;;;;;;42;36;;;;
1994-04;9;;27;;38;;13;;;;;;;13;;;;;;47;40;;;;
1994-05;11;;20;;37;;14;;;;;;;18;;;;;;48;38;;;;
1994-07;9;;20;;41;;16;;;;;;;13;;;;;;50;46;;;;
1994-08;;;;;;;;;;;;;;;;;;5;;;;;;;
1994-09;9;;18;;38;;14;;;;;;;11;;;;8;;47;;;;;
1994-12;5;;18;;40;;12;;;;;;;6;;;;18;;45;;;;;
1995-01;5;;17;;35;;10;;;;;;;6;;;;26;;;;;;;
1995-02;;;;;38;;;;;;;;;;;;;;;;;;;;
1995-03;10;;18;;42;;15;;;;;;;4;;;;9;;;;;;;
1995-04;9;;20;;38;;13;;;;;;;5;;;;12;;;;;;;
1995-05;12;;25;;41;;12;;;;;;;5;;;;4;;;;66;;;
1995-07;12;;26;;43;;11;;;;;;;5;;;;4;;;;69;;;
1996-03;12;;19;;42;;20;;;;;;;4;;;;1;;;;;;;
1996-04;16;;19;;38;;20;;;;;;;5;;;;2;;;52;57;;;
1996-05;13;;19;;46;;17;;;;;;;5;;;;0;;;;65;;;
1996-06;16;;19;;;;17;;;;;;;;;;;1;;;;;;;
1996-09;;;20;;39;;;;;;;;;7;;;;0;;;;;;;
1997-01;22;;20;;;;18;;;;;;;4;;;;;;;;;;;
1997-02;21;;18;;40;;18;;;;;;;4;;;;;;;;;;;
1997-03;20;;17;;40;;19;;;;;;;4;;;;;;;55;;;;
1997-04;18;;16;;45;;21;;;;;;;;;;;;;;;;;;
1997-05;17;;17;;43;;19;;;;;;;2;;;;;;;;60;;;
1997-06;18;;18;;36;;17;;;;;;;3;;;;;;;;;;;
1997-07;16;;22;;40;;14;;;;;;;3;;;;;;;65;62;;;
1997-08;15;;17;;48;;14;;;;;;;3;;;;0;;;65;;;;
1997-09;18;;19;;39;;17;;;;;;;3;;;;;;;65;58;;;
1997-10;16;;21;;41;;17;;;;;;;3;;;;;;;61;62;;;
1997-12;14;;17;;49;;13;;;;;3;;3;;;;;;;;66;;;
1998-01;10;;16;;47;;13;;;;;11;;3;;;;;;;;63;;;
1998-03;;;20;;42;;;;;;;10;;;;;;;;;;62;;;
1998-04;14;;16;;45;;14;;;;;7;;;;;;;;;;61;;;
1998-05;;;;;;;;;;;;7;;;;;;;;;;;;;
1998-06;;;;;;;;;;;;10;;;;;;;;;;;;;
1998-07;10;;19;;47;;8;;;;;10;;;;;;;;;;66;;;
1998-08;9;;14;;43;;7;;;;;16;;2;;;;;;;;57;;;
1998-09;;;21;;49;2;;;;;;16;;;2;;;;;;67;70;;;
1998-10;6;;17;;42;3;5;;;;;20;;1;3;;;;;;;59;;;
1998-11;;;18;;47;3;;;;;;20;;;3;;;;;;;;;;
1999-01;;;15;;;;;;;;;;;;;;;;;;;;;;
1999-02;;;18;;47;3;;;;;;25;;;3;;;;;;;65;;;
1999-03;;;13;;44;2;;;;;;36;;;4;;;;;;;57;;;
1999-04;;;17;;45;2;;;;;;30;;;5;;;;;;;62;;;
1999-06;;;17;;45;3;;;;;;18;;;14;;;;;;66;62;;;
1999-08;;;20;;48;2;;;;;;19;;;10;;;;;;75;68;;;
1999-09;;;15;;50;2;;;;;;19;;;13;;;;;;67;65;;;
1999-11;;;18;;47;1;;;;;;19;;;15;;;;;;68;65;;;
1999-12;;;14;;47;3;;;;;;14;;;20;;;;;;67;61;;;
2000-01;;;14;;46;2;;;;;;19;;;17;;;;;;60;60;;;
2000-03;;;15;;43;;;;;;;17;;;21;;;;;;64;58;;;
2000-04;;;13;;43;2;;;;;;23;;;18;;;;;;65;56;;;
2000-05;;;15;;42;;;;;;;28;;;13;;;;;;62;57;;;
2000-06;;;12;;47;;;;;;;25;;;14;;;;;;63;59;;;
2000-08;;;18;;43;1;;;;;;24;;;14;;;;;;60;61;;;
2000-09;;;16;;46;;;;;;;22;;;14;;;;;;67;62;;;
2000-10;;;12;;45;;;;;;;20;;;21;;;;;;62;57;;;
2000-11;;;16;;45;;;;;;;19;;;18;;;;;;66;61;;;
2000-12;;;13;;45;;;;;;;19;;;20;;;;;;63;58;;;
2001-05;;;15;;43;2;;;;;;19;;;21;;;;;;60;58;;;
2001-06;;;15;;38;3;;;;;;20;;;24;;;;;;57;53;;;
